MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,Growth_Classification,Exp_Daily_Growth,Linear_Daily_Growth,New_Cases_As_Text,CPB_April_2,CPB_April_3,CPB_April_4,CPB_April_5,CPB_April_6,CPB_April_7,CPB_April_8,CPB_April_9
"Mount Vernon-Anacortes, WA",129205,3,205,161,4,Tapering,NaN,0.444444444444445,0  12   3  30   0  13   8   2  20   7  15  10   8,0.331707317073171,0.429268292682927,0.404878048780488,0.463414634146341,0.365853658536585,0.404878048780488,0.399457994579946,0.42059620596206
Worcester,947404,17,2467,946,18,Exponential,0.208167201358133,NaN,6   31   56   38   53   72   50   56   44  138  106  164   94,0.146736927442238,0.16214025131739,0.205512768544791,0.225780299959465,0.276854479124443,0.293473854884475,0.344112757391485,0.420286143157647
"Springfield, MA",697382,15,2181,953,49,Decreasing,NaN,-2.66666666666667,5   15   28   18   46  118   27   71  134  144  105  131   89,0.150389729481889,0.209536909674461,0.268684089867033,0.303988995873453,0.355800091701055,0.375515818431912,0.368638239339752,0.402261959345866
"California-Lexington Park, MD",113510,1,95,34,0,Tapering,NaN,0.555555555555555,0  1  0  2  0  4  1  0  6  4  8  3  4,0.0842105263157895,0.147368421052632,0.178947368421053,0.263157894736842,0.273684210526316,0.315789473684211,0.338011695906433,0.39766081871345
"Pittsfield, MA",124944,4,436,253,8,Rebounding,NaN,4.22222222222222,3  11  34   2  32  14  32  11   9  12  30  27  13,0.318807339449541,0.33256880733945,0.334862385321101,0.325688073394495,0.38302752293578,0.339449541284404,0.380224260958206,0.389398572884811
"Ocean City, NJ",92039,1,242,50,0,Exponential,0.4,NaN,0   1   1   2   1   0   2   0   3  10  12  10   6,0.0289256198347107,0.0413223140495868,0.0785123966942149,0.12396694214876,0.15702479338843,0.177685950413223,0.260330578512397,0.367768595041322
"Columbus, IN",83779,1,198,45,0,Rebounding,NaN,3.22222222222222,0   0   0   1   0   1   3   0   3   0   2   8  22,0.0252525252525253,0.0404040404040404,0.0404040404040404,0.0505050505050505,0.0858585858585859,0.196969696969697,0.278338945005612,0.365881032547699
"Baton Rouge, LA",854884,39,4348,1244,31,Exponential,0.255294608763622,NaN,52   31   48   73   28   55   55   48   73   58  166  107  412,0.0896964121435143,0.094526218951242,0.100735970561178,0.1278748850046,0.135694572217111,0.224011039558418,0.284403517318755,0.363443216688138
"Burlington-South Burlington, VT",220411,2,632,268,4,Exponential,0.128918818205481,NaN,10   8  16  21  17  16  14   0  39  14  14  27  48,0.161392405063291,0.207278481012658,0.216772151898734,0.213607594936709,0.223101265822785,0.272151898734177,0.301503549492198,0.341067504889853
"Hilton Head Island-Bluffton, SC",222195,4,408,157,3,Decreasing,NaN,0,7   2   4   0  10   4  11  24  17  11  32   2  18,0.151960784313725,0.176470588235294,0.198529411764706,0.267156862745098,0.272058823529412,0.291666666666667,0.324346405228758,0.339869281045752
"New Haven-Milford, CT",854757,10,3199,1024,29,Tapering,NaN,9.11111111111111,12   48   38   29   66   14   44   93  144   94   36  244  133,0.107533604251329,0.148796498905908,0.163175992497656,0.162550797124101,0.229759299781182,0.250703344795249,0.295057483241291,0.332881803341322
Indianapolis,2074537,45,6067,2440,61,Tapering,NaN,4.11111111111111,0  103   88  101  231  153  165  201  233  282  283  193  277,0.171748805010714,0.210153288280864,0.239657161694412,0.27179825284325,0.286962254821164,0.29454425581012,0.312052451330513,0.328260351995312
"Sumter, SC",140466,3,372,124,4,Rebounding,NaN,2,4   5   2   0   1  15  15   6  12  12  21  12  15,0.129032258064516,0.150537634408602,0.169354838709677,0.220430107526882,0.252688172043011,0.290322580645161,0.303763440860215,0.32258064516129
Philadelphia,6102434,116,23316,6996,98,Exponential,0.19444887892886,NaN,174   215   227   382   387   356   398   408   488   733   809   829  1188,0.10923829130211,0.122705438325613,0.144921942014068,0.169883341911134,0.189054726368159,0.22340881797907,0.266485004159646,0.319104908137047
