MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,New_Cases_Per_Bed,New_Cases_Per_Day_As_Text
"Bremerton-Silverdale-Port Orchard, WA",271473,4,458,99,0,0.122270742358079,0   0   2  13   0   9   8   6  18   0   9  12   4
"Boise City, ID",749202,14,1903,458,4,0.120861797162375,4    8    5   23   25   23   16   41   91    6  131    9   64
Las Vegas,2266715,43,6237,1418,41,0.120089786756453,0   86   37  101   93    0   85  225  116   92  164  154  139
"El Centro, CA",181215,2,268,55,1,0.119402985074627,0  0  3  0  8  4  4  0  8  5  5  9  3
"Shreveport-Bossier City, LA",394706,20,3117,795,15,0.113570741097209,29    7   68   32   32   65   45    7   28   77   53   53  277
Providence,1624578,30,5769,1166,8,0.110937770844167,27    6   36   54   39   50  134   55  110  162  229   81   84
"Santa Fe, NM",150358,3,258,52,0,0.108527131782946,4  2  3  0  5  7  5  0  8  0  6  0  4
"Reading, PA",421164,6,1247,235,2,0.108259823576584,1   2   4  16  29   0   3  14  28  41  17  33  34
"Dover, DE",180786,2,288,68,2,0.107638888888889,1   4   4   3   4   4   0   2   7   7   2  11  14
Rochester,1069644,16,2890,602,15,0.103806228373702,13   31   16   35   25   46   19   36   14  109   77   49   55
"Naples-Marco Island, FL",384902,6,1051,221,2,0.103710751665081,6   2   6  18  16  11   3  24  27   4  28  25  18
Milwaukee,1575179,36,6592,1266,34,0.101638349514563,25   43  101   42   79  148   77   26  114   83  105  184    0
"Baton Rouge, LA",854884,39,4348,1244,31,0.100735970561178,52   31   48   73   28   55   55   48   73   58  166  107  412
"Kankakee, IL",109862,2,468,68,3,0.10042735042735,1   1   2   0  11  10   6   0   9   9   4   3  10
"Cedar Rapids, IA",273032,5,1079,151,4,0.0917516218721038,2   0   3   5  11  15   6  33  22   4  10  15  21
Baltimore,2800053,34,8745,1494,25,0.0913664951400801,19   25   33   80   84  104  131   74  125  168  179  211  157
"Bloomington, IN",169230,3,445,58,0,0.0898876404494382,0   3   3   2   3  10   8   5   5   4   3   5   5
"Fort Collins, CO",356899,8,725,134,7,0.0896551724137931,2   0   9  18   0   6  17   0  15   0   8  17  10
"Warner Robins, GA",185409,5,403,68,6,0.0893300248138958,0   2   3   5   1   3   3   2  13   6  12   8   6
"Boulder, CO",326196,6,777,143,2,0.0875160875160875,2   0  10  17   0  10  14   0  17   0   7  18  11
"Athens-Clarke County, GA",213750,3,574,90,10,0.0871080139372822,8   4   3   8  12   3   1   6  14   3   5   5   8
"Gainesville, GA",204441,2,634,84,0,0.0867507886435331,1   4   5   2   3   7   1   2  32   3   3   7   5
"Portland-South Portland, ME",538500,13,1640,339,6,0.0865853658536585,17  12  21   7   8  34  33  18  21   0  53  35  16
SF Bay Area,6722463,91,17503,3119,85,0.0860423927326744,145  154  143  233  199  106  146  319  129  231  194  231  226
Charlotte,2636883,30,5884,1055,9,0.0851461590754589,32   60   46   58   76   66   65   69   73   48  136  109  101
Los Angeles,13214799,172,39123,5391,107,0.084604963832017,159  153  185  486  301   82  392  678  583  603  577  576  114
Charleston,802122,13,2270,364,1,0.0845814977973568,21   6  18   0  50  20  10   8  25  61  64  26  39
"Salisbury, MD-DE",415726,8,1026,144,4,0.0838206627680312,8   5   3   2  10  23   7  16   8  17   5  12  11
"Portland, OR",2492412,27,4722,631,21,0.0828038966539602,21  14  36  52  83  46  35  25  72  42  55  48   0
Salt Lake City,1232696,25,3425,667,4,0.0823357664233577,28   15   28   28   41   61   46   39   39    0   81   68  110
Albany,880381,18,2949,629,12,0.0820617158358766,4  62  29  46  30  37  20  24  16  40  36  41  33
Fort Myers,770577,7,2240,348,11,0.0803571428571429,4   2  10  14  20  25  23  40  42   6  63  29  44
Memphis,1346045,32,6437,948,11,0.0798508622028895,32   49   50   53   48   63  109   34   62   95  161   24   69
"Lake Charles, LA",210409,12,1068,135,3,0.0795880149812734,0   1   6   4   7   6   7   7  23  25  18  11  16
"Gettysburg, PA",103009,1,76,21,0,0.0789473684210526,1  0  0  1  1  0  0  0  1  3  6  1  2
"Ocean City, NJ",92039,1,242,50,0,0.0785123966942149,0   1   1   2   1   0   2   0   3  10  12  10   6
"Stockton, CA",762148,10,1280,185,11,0.078125,10  10  17   3  19   3  20  10  13  15  22   7   5
"Olympia-Lacey-Tumwater, WA",290536,2,474,64,1,0.0780590717299578,0   0   3  10   0   3   6   3  12   0   3   7   6
"Cheyenne, WY",99500,2,283,42,0,0.0777385159010601,0  1  4  3  3  2  0  1  2  7  7  1  5
"Santa Maria-Santa Barbara, CA",446499,9,1054,152,1,0.0768500948766603,5   0   6   2   6  15  17   4  20  11  12  28  13
"Ogden-Clearfield, UT",683864,9,1186,210,3,0.0767284991568297,18   3   4   8  17  22  19  18   3   0  31  27  20
"Fairbanks, AK",96849,3,371,46,0,0.0754716981132075,0  0  3  1 -1  9  4  5  2  5  5  2  4
"Youngstown-Warren-Boardman, OH-PA",536081,20,2815,354,19,0.0742451154529307,5   7  19  13  23  24  14  39  45  32  21  38  52
"Jefferson City, MO",151235,5,516,50,0,0.0736434108527132,4   1   2   2   3  11   3  12   1   4   1   0   3
Orlando,2608147,35,7810,1146,15,0.0729833546734955,22    9   46   55   73   81   75   78  131   31  255  116   92
Raleigh,1390785,10,2294,329,3,0.0727986050566696,0  15  12  28  23   0  24  20  37  23  42  30  16
"Grants Pass, OR",87487,1,125,12,0,0.072,0  0  1  2  0  1  1  4  0  0  2  0  0
"Huntsville, AL",471824,9,1434,156,1,0.0718270571827057,5   3  16  15   5  17  17  16  10   7  11  12   5
"College Station-Bryan, TX",264728,7,683,79,5,0.0717423133235725,1   4   5   7   3  11   4   2   7  10   5   4   4
"Pensacola-Ferry Pass-Brent, FL",502629,13,1772,168,3,0.0699774266365688,5   1   7   7   5   9   8  22  66   0  10  13   7
"Columbia, SC",838433,21,3441,498,12,0.0691659401336821,30   8  19   0  21  28  26  63  34  47  48  39  47
St. Louis,2803228,63,13179,1582,18,0.0687457318461188,55   50   61   88  106  103   56   53  224  215  187    9  332
"Manchester-Nashua, NH",417025,11,1318,194,2,0.0682852807283763,0    3    1   10    1   12   10   16   30   10 -109  163   31
"Lebanon, PA",141793,3,484,87,0,0.0681818181818182,0   0   0   1   8   3   4   8   1   8   9   9  33
"Madison, WI",664865,13,2368,298,8,0.0675675675675676,9   3  18  46  27  16  13  10  28   2  24  18  17
Oxnard,846006,13,1690,203,6,0.0674556213017752,5   5   4  11  11  22  15  11  17  23  11  17  26
"Monroe, LA",200261,17,1277,204,1,0.06734534064213,7  -2   6  11   7  12   9   3  13  25  18  27  66
"Spokane-Spokane Valley, WA",568521,12,1971,214,10,0.0669710806697108,0   9   4  35  16  26   0  28   1  22  25  12  15
San Diego,3338330,38,7966,1112,17,0.0636454933467236,46   25   12   55   48   72   71   31   88  130  116  117  146
"Laredo, TX",276652,6,655,83,5,0.0625954198473282,0   0   5   2   8   6   5   5  10   0  18   2  18
"Santa Cruz-Watsonville, CA",273213,5,432,59,1,0.0625,7  0  2  1  7  2  7  3  1  4  5  3  2
"Kahului-Wailuku-Lahaina, HI",167417,4,258,38,0,0.062015503875969,0   0   0   4   1   2   0   4   5   0   1  10   2
Phoenix,4948203,80,11633,1260,28,0.061463079171323,59   65   53   60  101   60  101  158   96   86   94   96  134
"York-Hanover, PA",449058,7,998,144,1,0.061122244488978,0   8   2   1   9   7   6  11  12  13  23  19  23
"Wenatchee, WA",120629,4,251,33,3,0.0597609561752988,4  0  5  3  2  1  0  1  2  1  2  2  7
"Niles, MI",153401,4,512,56,1,0.05859375,2   3   2   1   7   4   7   3   3   3   2  12   4
"Glens Falls, NY",125148,1,410,36,0,0.0585365853658537,0  3  1  0  8  8  5  0  0  2  1  4  2
"Hammond, LA",134758,10,501,131,2,0.0578842315369262,0   1   1   2   0   3   0   8   7   8   9  13  76
"Columbia, MO",208173,7,844,77,1,0.0568720379146919,2   3   3  15   0  12   5   5   6   2   3   0   6
"Saginaw, MI",190539,8,1122,103,0,0.0561497326203209,0   6   1   1   4   5   5  12  15  20  11   8  13
"Coeur d'Alene, ID",165697,4,396,37,0,0.0555555555555556,3   2   0   1   1   1  15   0   3   1   1   6   0
"Bend, OR",197692,2,308,36,0,0.0551948051948052,0  0  0  5  3  2  3  2 -1  3  5  4  0
"Kokomo, IN",82544,3,254,27,2,0.0551181102362205,0  0  0  0  1  2  3  2  2  4  4  1  2
"Corvallis, OR",93053,1,164,17,1,0.0548780487804878,0  0  2  0  0  2  0  1  3  1  2  2  0
"Pine Bluff, AR",87804,2,498,64,0,0.0542168674698795,17   0   1   4   0   5   0   1   7   9   7   2   2
Columbus,2122271,38,7738,760,10,0.0541483587490308,11  39  21  29  55  89  31  49  63  82  66  86  96
Birmingham,1090435,21,5493,551,14,0.0540688148552703,20  11  57  44  39  28  59  14  29  27  36  56  40
"Rome, GA",98498,5,910,79,3,0.0538461538461538,1   1   3   2   4   7   0   1   7  25  11   6   2
"Reno, NV",475642,14,1844,245,4,0.0536876355748373,0  19   6   7  10   8  32   4  10  22  20  21  61
Cleveland,2048449,45,10802,1074,20,0.0535086095167562,36   30   55   70  102   61   95   73   48   74  110  144   14
"Grand Island, NE",75553,4,281,42,1,0.0533807829181495,0   0   0   0   0   3   0   3   2   7   2   9  16
"Lubbock, TX",322257,12,1689,141,4,0.0532859680284192,0   3   1   6  10   3  11  10  26  23   9   9  21
"Lewiston, ID-WA",62990,2,170,14,2,0.0529411764705882,0  0  1  0  3  0  0  0  5  0  5 -1  1
Bakersfield,900202,15,1833,210,2,0.0529187124931806,7   1   2  14   4  14   4   9  23  27  32  31  37
Houston,7066141,137,20597,1989,23,0.0527261251638588,20   89   63   98   48  264  123   65  225  200  178  221  252
Virginia Beach,1749725,31,5204,591,7,0.0520753266717909,4   10   16   20   21   31   41   16   68   58   53   68  117
"Wichita Falls, TX",151254,8,661,47,0,0.0514372163388805,1  0  3  2  5  8  0  5  2  9  5  1  2
"Prescott Valley-Prescott, AZ",235099,5,409,43,0,0.0513447432762836,0   0   1   1   4   4  -1   3   6   3  10   1   8
Dallas,7573136,177,22120,2126,39,0.0510849909584087,35   47  122  114  160  135   93  167  191  148  223  198  242
Grand Rapids,1077370,17,2366,211,2,0.0502958579881657,11   7   7  10   7  10  21  30  16  18   9  16  20
"Greenvile, SC",920477,19,2755,274,5,0.0500907441016334,17   9  19   0   4  14  21  21  27  32  36  29  15
"Gulfport-Biloxi, MS",417665,10,1642,179,5,0.0499390986601705,8   7   3  11  14  13  12   0   9  20  11  40   7
"Norwich-New London, CT",265206,2,465,57,3,0.0494623655913978,1   2   3   4   2   4   1   4   3   2   0  11  17
Tucson,1047279,21,3542,326,11,0.0494071146245059,7  18   7  26  27  18  33  34  15  15  20  43  46
"South Bend-Mishawaka, IN-MI",323613,8,913,95,2,0.0492880613362541,9   1   1   3   6   5   3   4  13  10   8   7  17
"Hinesville, GA",80994,2,102,10,0,0.0490196078431373,0  1  0  1  0  1  1  1  1  0  2  0  2
Albuquerque,918018,19,2368,276,9,0.0489864864864865,6   5   6   0   9  44  12   0  45   0  22  88   0
"Binghamton, NY",238691,4,819,73,4,0.0488400488400488,0   6   2   6   2   9   6   7   4   4   4  10   9
"Battle Creek, MI",134159,5,394,34,1,0.0482233502538071,1  1  2  1  2  2  4  2  0  6  2  6  3
"Hagerstown-Martinsburg, MD-WV",288104,6,731,79,0,0.0478796169630643,1   0   4   0   3   6   1   6   6   9   8  20  14
Des Moines,699292,13,2040,161,1,0.0475490196078431,2   6   5   5   6  19  13  17  22  10  12  18  10
"Owensboro, KY",119440,2,527,57,1,0.047438330170778,10   0   3   0   0  21  -6   0   7   0   0   0  21
"Elkhart-Goshen, IN",206341,3,406,31,3,0.0467980295566502,0  0  1  2  2  2  1  0  8  3  4  2  2
"Iowa City, IA",173105,5,1485,143,2,0.0464646464646465,3   3   8   8  12   3   6  10   9  13   6  10  17
Pittsburgh,2317600,50,10981,921,12,0.0464438575721701,14   20   48   72   42  106   66   54   72   50   87  110  124
Jacksonville,1559514,22,6039,625,17,0.0463652922669316,15    7   14   35   25   39   19   50   77   21  106   68   84
"Akron, OH",703479,13,3198,258,10,0.0462789243277048,6  10   6  12  20  20  28  24  19  19  26  15  29
Riverside,4650631,56,10105,991,28,0.0461157842652152,17   25   18   53   44   56   12  131   94   58  193   50  194
"Toledo, OH",641816,17,3849,305,7,0.0459859703819174,4   3  11  15  17  22  29  22  21  40  40  31  42
"State College, PA",162385,3,438,39,0,0.045662100456621,2  4  1  1  2  4  7  2  2  1  1  4  7
"Champaign-Urbana, IL",226033,5,642,56,0,0.0451713395638629,1   1   0   6   0   1  10   2   3   7  11   8   4
"Lexington-Fayette, KY",517056,15,2745,170,8,0.0448087431693989,6   1  13   0   0   0  59  17  34   0   6   0  20
"Muncie, IN",114135,3,411,33,1,0.0437956204379562,0  2  3  0  1  0  6  1  3  4  3  5  3
"Spartanburg, SC",319785,6,943,72,0,0.0434782608695652,1   1   5   0   7   5   4   5   7   8   5  10  12
Louisville,1265108,29,5918,473,17,0.0434268333896587,9    5    5    6    9   79   11   34  105    8   52   16  100
"Chambersburg-Waynesboro, PA",155027,3,416,27,0,0.0432692307692308,0  2  2  0  0  2  4  1  7  2  2  3  1
"Alexandria, LA",152037,13,1428,106,4,0.0427170868347339,7   2   4  11   1  11   5   3  14  12  10   4  20
"Utica-Rome, NY",289990,8,1124,98,4,0.0427046263345196,1   6   1   5   2  10   4  10   0  16  13  10  13
Oklahoma City,1408950,43,5971,487,19,0.0425389382013063,6  20  22  34  28  20  19  29  31  71  66  33  64
"Vineland-Bridgeton, NJ",149527,4,588,40,2,0.0425170068027211,0  1  1  1  5  2  0  1  6  9  4  5  4
Sacramento,2363730,28,5380,546,13,0.0421933085501859,37   10   38    1   59   17   12   60   15   25  105   89    7
Chapel Hill,644367,10,2687,283,1,0.042054335690361,0  30  14  25  12  21   9  -4  25  11  31  21  37
Tulsa,998626,36,4376,368,14,0.041819012797075,5   2  27  29  20  11  11   7  30  48  62  37  70
"Provo-Orem, UT",648252,11,1366,186,0,0.0417276720351391,5   2   5   6   2   4  20   7  13   0  35  45  36
"Yuba City, CA",175639,6,342,25,1,0.0409356725146199,1  0 -3  5  0  1  3  1  5  2  5  0  3
"Elmira, NY",83456,3,468,36,0,0.0405982905982906,2   1   0   4   4   1   3   0   5   2   0  13   1
Sarasota,836995,12,2424,258,10,0.0404290429042904,8   6   7  11   8  10   5  17  29  11  59  29  30
"Columbus, IN",83779,1,198,45,0,0.0404040404040404,0   0   0   1   0   1   3   0   3   0   2   8  22
"Charleston, WV",257074,10,1065,61,1,0.0403755868544601,0   1   1   3  11   3   3   5   9   8   2   1  10
"Sebring-Avon Park, FL",106221,3,323,30,2,0.0402476780185759,1  2  0  1  0  5  0  3  4  0  7  2  4
"Daphne-Fairhope-Foley, AL",223234,4,398,29,1,0.0402010050251256,1  1  0  1  0  5  5  3  1  1  4  4  1
"Dalton, GA",144724,2,324,25,1,0.0401234567901235,0  0  2  1  1  2  3 -1  4  1  6  1  3
"Bismarck, ND",128949,3,551,51,1,0.0399274047186933,1  2  1  4  6  5  1  2  0  3  0  2  2
"Bloomington, IL",171517,2,277,40,2,0.0397111913357401,1   0   0   1   2   0   4   3   2  -1  14   3   5
"Anchorage, AK",396317,10,1293,85,1,0.0394431554524362,8   4   0  11   2  15  11   5   3   4   3   6   8
"Longview, WA",110593,2,279,18,0,0.039426523297491,0  0  0  4  0  3  0  4  0  0  4  0  0
Honolulu,974563,17,2536,266,3,0.0390378548895899,0  17   0  10   8  32   0  15  16  18  25  55  29
"Winston-Salem, NC",676008,12,2498,166,3,0.0388310648518815,1   3   1   3  16  16   4   6  14  37   8  31  12
Richmond,1370148,24,4657,476,2,0.0386514923770668,14    7   11    5   13   13   18   24   50   46   54   83  117
"Crestview-Fort Walton Beach-Destin, FL",284809,8,858,80,1,0.0384615384615385,5   1   4   6   2   6   4   4   7   0  13   3   7
Kansas City,2157990,58,8791,617,18,0.038220907746559,15  17  24  43  33  31  40  50  67  48  59  45  82
"Port St. Lucie, FL",489297,11,1544,129,3,0.0382124352331606,4   1   2   6  12  16   3   7  10   3  13  20  27
Austin,2227083,60,6241,564,5,0.0379746835443038,22    8   23   28   50   22   25   10   65   14  122   14   83
"Wichita, KS",640218,19,1637,109,1,0.0378741600488699,0   5   4   6   5  13   9   7   9   9  17   7  13
"Charlottesville, VA",218615,5,899,57,1,0.0378197997775306,0   2   3   7   5  10   1   3   3   2   4   4   6
"Billings, MT",181667,5,663,39,0,0.0377073906485671,0  1  5  2  6  3  3  0  5  1  4  1  2
"Winchester, VA-WV",140566,3,532,34,0,0.037593984962406,0  0  2  0  2  0  5  4  2  5  1  8  5
"Harrisburg-Carlisle, PA",577941,13,2155,158,4,0.0375870069605568,1   4   6   5   6  12  12   3  21  16  13  17  30
Vallejo,447643,7,749,73,1,0.0373831775700935,1   7   3   7   3   0   0   0   9   6   5   7  12
"Madera, CA",157327,2,462,28,1,0.0367965367965368,0  3  0  1  3  1  4  3  3  2  2  3  0
"Merced, CA",277680,3,246,16,0,0.0365853658536585,1  0  1  0  2  3  1  1  1  0  2  4  0
Daytona Beach,668365,10,2141,163,3,0.0364315740308267,4   3   3  11  14   7   3  18  20   2  27  26  10
"Muskegon, MI",173566,3,413,31,2,0.036319612590799,1  2  0  0  3  1  6  5  0  0  8  4  1
"Sebastian-Vero Beach, FL",159923,4,612,50,0,0.0359477124183007,2  1  1  1  1  2  1  7  9  0  8  6  3
"Lawton, OK",126415,5,615,41,0,0.0357723577235772,0  0  0  3  3  0  5  2  3  6  6  9  4
Lakeland,724777,6,1793,142,4,0.0351366424986057,2   0   1   3   9   8   5  16  18   3  27  23  16
"Jackson, MS",594806,24,4954,326,3,0.035123132821962,7  18  19  14  21  18  21   0  41  40  17  49  13
"Brunswick, GA",118779,2,401,29,0,0.0349127182044888,1  1  0  0  1  1  1  2  8  1  2  4  4
"Medford, OR",220944,3,545,27,0,0.0348623853211009,0   1   1   0   2   2  11   1   1   1   5   0   0
"Decatur, AL",152603,5,574,28,0,0.0348432055749129,0  2  3  7 -1  7  2  0  3 -1  2  4  0
Tampa,3194831,54,11377,969,14,0.0342796870879845,23   21   25   53   43   53   49   59   98   10  231  119   73
"Hot Springs, AR",99386,6,646,40,0,0.0340557275541796,6  1  6  2  2  0  5  1  5  1  5  0  3
"Dubuque, IA",97311,3,470,24,1,0.0340425531914894,2  0  0  0  2  4  4  5  0  1  0  1  1
"Kalamazoo-Portage, MI",265066,2,821,45,3,0.0328867235079172,3  0  2  5  1  4  4  5  0  6  4  6  5
"Fayetteville-Springdale-Rogers, AR",534904,16,1673,67,0,0.0328750747160789,3   0   1  21   8   6   3   5   7   4   2   3   1
Minneapolis,3640043,40,8364,557,14,0.0324007651841224,58  24  14  31  35  33  39  53  32  34  32  26  30
"Cleveland, TN",124942,3,373,24,0,0.032171581769437,-1  1  1  2  1 -1  3  0  2  4  5  4  1
"Racine, WI",196311,4,715,41,0,0.0321678321678322,1  0  2  1  1  7  1  4  5  2  7  6  0
Knoxville,869046,21,3418,171,1,0.0315974253949678,8   5   8  10  10   8   9  19  29  15  20  11   8
"Sioux Falls, SD",268232,14,1535,107,0,0.0306188925081433,1   0   9   4   2   4   6   3   4  15  21  17  15
"Valdosta, GA",147292,5,525,41,1,0.0304761904761905,0  2  1  1  4  4  1  0  2  3  3  5  7
"Gainesville, FL",329128,7,1805,118,0,0.0304709141274238,1   1   8   4   8  11   5   8   8   3   5  15   6
"Morgantown, WV",139044,5,990,45,0,0.0303030303030303,0   3  12   3   5  -1   6   3   1   1   3   1   6
"Homosassa Springs, FL",149657,2,332,34,2,0.0301204819277108,1  0  0  2  0  3  1  2  2  0  8  1  6
"Fayetteville, NC",526719,8,1036,76,1,0.0299227799227799,1   3   5   1   0   0   9   2   8   6   7  10  13
"Springfield, MO",470300,10,1488,83,7,0.0295698924731183,7   2   3   3   7  14   5   7   2   3   3   0  15
"Harrisonburg, VA",134964,2,508,37,0,0.0295275590551181,0  1  1  1  3  0  0  2  0  8  7  7  4
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",496901,8,987,87,5,0.0293819655521783,7   5   1   1   4   5   3   3   7   5  15   1  13
"Watertown-Fort Drum, NY",109834,3,344,20,0,0.0290697674418605,0  1  0  2  0  2  1  4  0  1  3  3  2
"Twin Falls, ID",111290,3,278,44,1,0.0287769784172662,0   0   0   0   2  -1   0   1   4   2  29   2   4
"Casper, WY",79858,6,454,23,0,0.0286343612334802,0  1  2  2  2  0  0  2  2  3  4  2  2
"Fond du Lac, WI",103403,4,214,30,2,0.0280373831775701,0  2  0 -1  1  2  0  1  1  2  4  2  0
"Rochester, MN",221921,4,2145,113,2,0.027972027972028,5   3   5  11   5   6  12   8   3  10   6  10  12
"Hattiesburg, MS",168849,6,863,64,1,0.0278099652375435,1   4   1   3   1   3   1   0   5  10   2  11  10
"Salinas, CA",434061,4,793,57,2,0.0277427490542245,3  6  4  0  0  8  4  0  4  2  6  5  4
"Augusta-Richmond County, GA-SC",608980,16,3006,131,3,0.0272787757817698,1   3   2   3   9   5   4   1  50   8   9  16   4
"St. George, UT",177556,2,338,25,1,0.0266272189349112,5  0  0  3  1  4 -5  7 -1  0  4  5  2
