msa,pop,MSA_FIPS,msa_short_name
"Salisbury, MD-DE",415726,41540,
"Fort Wayne, IN",413263,23060,
"Flint, MI",405813,22420,
"Peoria, IL",400561,37900,
"Canton-Massillon, OH",397520,15940,
"Anchorage, AK",396317,11260,
"Shreveport-Bossier City, LA",394706,43340,
"Savannah, GA",393353,42340,
"Beaumont-Port Arthur, TX",392563,13140,
"Tallahassee, FL",387227,45220,
"Naples-Marco Island, FL",384902,34940,
"Eugene-Springfield, OR",382067,21660,
"Davenport-Moline-Rock Island, IA-IL",379172,19340,
"Montgomery, AL",373290,33860,
"Hickory-Lenoir-Morganton, NC",369711,25860,
"Ann Arbor, MI",367601,11460,
"Trenton-Princeton, NJ",367430,45940,
"Ocala, FL",365579,36100,
"Fort Collins, CO",356899,22660,
"Huntington-Ashland, WV-KY-OH",355873,26580,
"Lincoln, NE",336374,30700,
"Rockford, IL",336116,40420,
"Gainesville, FL",329128,23540,
"Boulder, CO",326196,14500,
"Greeley, CO",324492,24540,
"South Bend-Mishawaka, IN-MI",323613,43780,
"Green Bay, WI",322906,24580,
"Lubbock, TX",322257,31180,
"Columbus, GA-AL",321048,17980,
"Spartanburg, SC",319785,43900,
"Evansville, IN-KY",315086,21780,
"Roanoke, VA",313222,40220,
"Clarksville, TN-KY",307820,17300,
"Kingsport-Bristol, TN-VA",307202,28700,
"Kennewick-Richland, WA",299612,28420,
"Wilmington, NC",297533,48900,
"Olympia-Lacey-Tumwater, WA",290536,36500,
"Utica-Rome, NY",289990,46540,
"Duluth, MN-WI",288732,20260,
"Hagerstown-Martinsburg, MD-WV",288104,25180,
"Longview, TX",286657,30980,
"Crestview-Fort Walton Beach-Destin, FL",284809,18880,
"San Luis Obispo-Paso Robles, CA",283111,42020,
"Merced, CA",277680,32900,
"Laredo, TX",276652,29700,
"Waco, TX",273920,47380,
"Santa Cruz-Watsonville, CA",273213,42100,
"Cedar Rapids, IA",273032,16300,
"Bremerton-Silverdale-Port Orchard, WA",271473,14740,
"Erie, PA",269728,21500,
"Sioux Falls, SD",268232,43620,
"Norwich-New London, CT",265206,35980,
"Kalamazoo-Portage, MI",265066,28020,
"Amarillo, TX",265053,11100,
"College Station-Bryan, TX",264728,17780,
"Atlantic City-Hammonton, NJ",263670,12100,
"Lynchburg, VA",263566,31340,
"Charleston, WV",257074,16620,
"Tuscaloosa, AL",252047,46220,
"Yakima, WA",250873,49420,
"Fort Smith, AR-OK",250368,22900,
"Fargo, ND-MN",246145,22020,
"Binghamton, NY",238691,13780,
"Appleton, WI",237974,11540,
"Prescott Valley-Prescott, AZ",235099,39150,
"Lafayette-West Lafayette, IN",233002,29200,
"Tyler, TX",232751,46340,
"Topeka, KS",231969,45820,
"Macon-Bibb County, GA",229996,31420,
